序,地名,东经,北纬
1,白云山风景名胜区,113.297033,23.180163
2,云台花园,113.29395,23.157315
3,广州动物园,113.305365,23.14083
4,广州中山纪念堂,113.264692,23.13286
5,广州市帽峰山景区,113.458654,23.295999
6,广东民间工艺博物馆(陈家祠),113.245448,23.12715
7,广州博物馆(镇海楼),113.265698,23.137723
8,西汉南越王博物馆,113.261015,23.137823
9,广州兰圃,113.260465,23.143723
10,广州海珠国家湿地公园,113.336494,23.066696
11,荔湾区博物馆(含蒋光鼐故居),113.235516,23.119498
12,南海神庙,113.497804,23.08038
13,余荫山房,113.395709,23.011378
14,岭南印象园,113.406179,23.036045
15,广州民俗博物馆(资政大夫祠),113.191801,23.387166
16,洪秀全故居,113.172881,23.417017
17,广州市流溪河国家森林公园,113.782528,23.74822
18,石门国家森林公园,113.788833,23.627346
19,白江湖森林公园,113.908419,23.497491
20,广东科学中心,113.362589,23.03921
21,天鹿湖森林公园,113.428351,23.222389
22,白水仙瀑景区,113.759867,23.588056
23,番禺区沙湾古镇,113.334288,22.900653
24,花都区盘古王庙景区,113.156753,23.484766
25,南沙天后宫,113.619064,22.757265
26,南沙滨海湿地景区,113.637798,22.601052
27,黄大仙祠,113.227122,23.095568
